,_entropy_hour,_label,_rate,_total,cnt_app,cnt_device,ratio_inapp_detected,ratio_kid_back_home,ratio_net_limit,ratio_web_filtered,scaled_inapp_detected,scaled_kid_back_home,scaled_net_limit,scaled_web_filtered
8b02f576483990f953b22bf88cf39b1d,2.98296502922,1,0.99965378263,0.230946561238,1,6,0.0,0.0,0.992864864865,0.00713513513514,-0.253918756827,-0.38606514573,0.754358757154,-0.0756129075353
d3e337420fb0a6029fa130fa201ff842,2.55394294002,1,0.998210876742,-0.259876446297,2,2,0.000837520938023,0.443886097152,0.55527638191,0.0,-0.253703428061,0.26601848307,-0.179904956831,-0.114028016272
04467fbb18fd7911321871dc23eaccf4,3.06252930025,1,0.993658555097,-0.298501398799,1,7,0.0,0.0,0.689393939394,0.310606060606,-0.253918756827,-0.38606514573,-0.186087409507,0.220067020321
8569653044ed7e25d603ddca0e3334c6,2.00100652342,1,0.739716648604,-0.416665142379,5,3,0.265306122449,0.0,0.734693877551,0.0,-0.248320208914,-0.38606514573,-0.320436861887,-0.114028016272
7f1711be7502a499de97db8e64538e71,1.58084145636,1,0.997869550967,-0.386623512655,1,1,0.0,0.0,0.996753246753,0.00324675324675,-0.253918756827,-0.38606514573,-0.264557001162,-0.112863922068
289357bb49c5d20af9b86ee567967fdd,3.06252930025,1,0.98521464394,-0.0424322692486,1,6,0.0,0.349299926308,0.62675018423,0.023949889462,-0.253918756827,0.780303307293,0.0669175769221,-0.0383618930022
4a9e0454aaf2cd859c1b0c415387d1c3,1.63860372141,1,0.998770293074,-0.383047128164,5,3,1.0,0.0,0.0,0.0,-0.182214277795,-0.38606514573,-0.337557500066,-0.114028016272
df5491fe47a3248533cf7f9555d3c547,2.92520276417,1,0.997875248244,-0.244712576055,4,5,0.0123076923077,0.234615384615,0.727692307692,0.0253846153846,-0.250473496573,-0.0108094725529,-0.11261133732,-0.0756129075353
d890b317e2191f90615f86ea3e1f62ea,2.75191596903,1,0.743447502187,-0.353720775339,3,9,0.126394052045,0.0,0.85687732342,0.0167286245353,-0.239276400748,-0.38606514573,-0.22793785839,-0.103551168435
89ba9cd45d7781c4d20dd34c2ad609c2,1.70455144527,1,0.973193155295,-0.381473518988,2,2,0.00581395348837,0.0,0.994186046512,0.0,-0.253488099295,-0.38606514573,-0.256234468714,-0.114028016272
