,__EVENTCASE__,__PARENTALCONTROL__death_period,__PARENTALCONTROL__distinct_payload_app_id,__PARENTALCONTROL__distinct_payload_app_name,__PARENTALCONTROL__distinct_payload_device_id,__PARENTALCONTROL__distinct_payload_member_id,__PARENTALCONTROL__distinct_payload_profile_id,__PARENTALCONTROL__distinct_payload_reason,__PARENTALCONTROL__distinct_payload_url,__PARENTALCONTROL__event_type_continue_browsing_allowed,__PARENTALCONTROL__event_type_continue_browsing_requested,__PARENTALCONTROL__event_type_inappropriate_app_detected,__PARENTALCONTROL__event_type_kids_back_to_home,__PARENTALCONTROL__event_type_network_time_limited,__PARENTALCONTROL__event_type_web_site_filtered,__PARENTALCONTROL__hours_of_day_0,__PARENTALCONTROL__hours_of_day_1,__PARENTALCONTROL__hours_of_day_10,__PARENTALCONTROL__hours_of_day_11,__PARENTALCONTROL__hours_of_day_12,__PARENTALCONTROL__hours_of_day_13,__PARENTALCONTROL__hours_of_day_14,__PARENTALCONTROL__hours_of_day_15,__PARENTALCONTROL__hours_of_day_16,__PARENTALCONTROL__hours_of_day_17,__PARENTALCONTROL__hours_of_day_18,__PARENTALCONTROL__hours_of_day_19,__PARENTALCONTROL__hours_of_day_2,__PARENTALCONTROL__hours_of_day_20,__PARENTALCONTROL__hours_of_day_21,__PARENTALCONTROL__hours_of_day_22,__PARENTALCONTROL__hours_of_day_23,__PARENTALCONTROL__hours_of_day_3,__PARENTALCONTROL__hours_of_day_4,__PARENTALCONTROL__hours_of_day_5,__PARENTALCONTROL__hours_of_day_6,__PARENTALCONTROL__hours_of_day_7,__PARENTALCONTROL__hours_of_day_8,__PARENTALCONTROL__hours_of_day_9,__PARENTALCONTROL__live_period,__PARENTALCONTROL__locale,__PARENTALCONTROL__payload_action_accept,__PARENTALCONTROL__payload_action_block,__PARENTALCONTROL__payload_cat_id_0,__PARENTALCONTROL__payload_cat_id_1,__PARENTALCONTROL__payload_cat_id_2,__PARENTALCONTROL__payload_cat_id_3,__PARENTALCONTROL__payload_cat_id_4,__PARENTALCONTROL__payload_cat_name_,__PARENTALCONTROL__rate,__PARENTALCONTROL__station_final_status,__PARENTALCONTROL__total_event,__STATIONID__
893,EE3F-ECF8-77F4-D86E-44DB_2017-10-14 12:52:50,4442.0,1,1,9,3,1,1,4,0,0,0,1793,0,5,0,0,165,212,173,182,1,1,1,0,0,0,2,0,0,0,0,152,134,148,152,153,146,176,5081077.0,0,0,5,5,0,0,0,0,5,0.9991265394938058,1,1798,EE3F-ECF8-77F4-D86E-44DB
895,9DB5-3F87-D524-FBAE-4CA3_2017-07-21 13:39:29,1151252.0,4,4,8,4,1,1,7,0,0,94,222,1003,17,9,33,23,86,131,143,100,101,103,96,98,48,23,54,58,46,1,40,23,24,19,26,28,23,607903.0,0,792,228,8,9,0,0,0,8,0.3455653424513474,0,1336,9DB5-3F87-D524-FBAE-4CA3
899,A6C4-689E-F448-C68D-C9A2_2017-09-16 10:12:11,82011.0,3,3,6,4,1,1,20,0,0,19,1239,3780,67,1,0,141,264,691,448,401,351,344,328,341,378,1,333,148,1,0,117,119,130,134,148,131,155,8296844.0,0,684,3163,40,27,0,0,0,40,0.9902121471251144,1,5105,A6C4-689E-F448-C68D-C9A2
901,EE3F-ECF8-77F4-D86E-44DB_2017-08-16 13:26:54,14479.0,1,1,10,3,1,1,10,0,0,0,4658,45,13,0,0,435,488,499,533,9,9,4,6,6,8,0,1,0,0,0,459,422,388,369,367,335,378,8028157.0,0,47,11,13,0,0,0,0,13,0.9981997195944216,1,4716,EE3F-ECF8-77F4-D86E-44DB
902,D5C8-EA37-8A24-9796-75AA_2017-08-25 05:08:19,8345.0,1,1,2,1,1,1,7,0,0,0,133,102,10,13,1,22,17,20,7,0,0,0,0,0,0,2,0,8,30,32,8,10,13,12,22,16,12,3384262.0,0,0,112,8,2,0,0,0,8,0.9975402397035672,1,245,D5C8-EA37-8A24-9796-75AA
903,9F85-68E5-2D43-EEBC-D393_2017-07-16 06:27:25,7095.0,7,7,9,4,1,1,6,0,0,1240,1489,4143,36,34,11,278,457,506,499,514,478,481,494,484,338,111,323,65,168,176,141,168,162,209,330,255,226,8565217.0,0,0,4179,34,2,0,0,0,34,0.9991723353046412,1,6908,9F85-68E5-2D43-EEBC-D393
904,EF56-B3AD-64E5-CB79-9A4A_2017-10-03 15:32:36,37584.0,6,6,7,4,1,1,22,0,0,998,92,926,1073,68,24,228,252,186,319,239,117,114,107,108,99,1,98,97,91,85,99,121,65,166,86,131,188,1409735.0,0,0,1999,23,3,0,0,1047,1070,0.9740319860376324,1,3089,EF56-B3AD-64E5-CB79-9A4A
905,A73C-9B69-D544-B9BA-8F47_2017-06-15 15:21:56,2183.0,1,1,5,2,1,1,1,0,0,0,1613,3917,0,0,0,138,683,709,480,412,383,381,373,392,382,137,29,0,0,0,147,140,184,131,143,153,133,3417085.0,0,3917,0,0,0,0,0,0,0,0.9993615592577124,1,5530,A73C-9B69-D544-B9BA-8F47
906,ADFD-9FD9-6246-7944-A6E8_2017-10-29 17:49:52,1187.0,1,1,6,3,1,1,1,0,0,0,0,438,0,0,0,20,100,51,31,25,28,21,18,17,19,0,65,10,0,0,0,0,0,0,0,0,33,2227515.0,0,315,123,0,0,0,0,0,0,0.9994674029995936,1,438,ADFD-9FD9-6246-7944-A6E8
908,AA5F-4985-BE34-A9D9-2445_2017-07-02 10:42:58,11193422.0,5,5,9,4,1,1,1,0,0,80,698,9385,0,383,378,442,384,426,525,486,234,378,352,303,297,422,301,276,307,315,517,493,603,639,555,580,567,7359449.0,0,9385,0,0,0,0,0,0,0,0.39667440149829103,0,10163,AA5F-4985-BE34-A9D9-2445
910,F478-98DD-5FBA-429B-BABA_2017-07-31 19:49:16,5728.0,2,2,4,2,1,1,1,0,0,2,0,260,0,2,0,0,50,41,18,21,9,6,10,13,40,0,9,41,2,0,0,0,0,0,0,0,0,14525425.0,0,163,97,0,0,0,0,0,0,0.9996058124224554,1,262,F478-98DD-5FBA-429B-BABA
912,9FB2-8C3B-BC74-7489-F9FB_2017-10-08 03:59:45,35384.0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663903.0,0,0,1,1,0,0,0,0,1,0.9493998887438204,1,1,9FB2-8C3B-BC74-7489-F9FB
914,9669-E84D-EA4B-248F-D75C_2017-08-03 01:15:33,3206.0,4,4,4,4,1,1,2,0,0,953,241,1315,1,35,43,200,212,204,98,93,78,74,73,82,58,44,85,136,48,39,58,46,82,141,197,195,189,687834.0,0,1253,63,1,0,0,0,0,1,0.9953606158833064,1,2510,9669-E84D-EA4B-248F-D75C
917,EC98-FAFC-D348-6CAA-464B_2017-10-05 13:33:11,2517.0,3,3,9,3,1,1,1,0,0,1512,131,18,0,74,110,107,159,260,274,124,10,10,2,1,6,72,3,1,0,34,79,42,27,58,68,33,107,971070.0,0,0,18,0,0,0,0,0,0,0.9974147148636948,1,1661,EC98-FAFC-D348-6CAA-464B
920,38A3-58AC-2DD4-2228-42E5_2017-07-15 00:01:15,44683.0,1,1,4,4,1,1,1,0,0,0,0,23,0,0,0,0,0,0,0,4,0,4,1,0,0,0,1,0,4,9,0,0,0,0,0,0,0,957835.0,0,0,23,0,0,0,0,0,0,0.9554292292008724,1,23,38A3-58AC-2DD4-2228-42E5
921,C5B4-45C8-74E4-353B-54E7_2017-07-13 18:37:18,16457.0,3,3,3,3,1,1,3,0,0,242,71,0,2,11,3,21,22,33,48,19,23,7,1,2,2,5,0,9,10,7,18,6,2,5,12,16,33,617454.0,0,0,2,2,0,0,0,0,2,0.9740389423751916,1,315,C5B4-45C8-74E4-353B-54E7
922,B784-5A79-56AB-44C9-8FCC_2017-11-02 13:13:33,1170.0,4,4,6,3,1,1,12,0,0,199,171,785,1147,65,51,190,275,251,186,121,94,72,63,61,7,42,0,13,8,10,135,126,63,65,83,143,178,1913791.0,0,327,1605,101,3,0,0,1043,1144,0.9993890214996546,1,2302,B784-5A79-56AB-44C9-8FCC
923,CC95-BDE3-D34A-48FB-8A62_2017-09-02 20:59:27,7378.0,4,4,5,4,1,1,1,0,0,10,31,504,0,12,15,7,12,15,16,56,47,52,48,48,48,12,48,18,12,15,14,3,7,9,11,11,9,1040359.0,0,233,271,0,0,0,0,0,0,0.9929581564839268,1,545,CC95-BDE3-D34A-48FB-8A62
924,4A25-CB25-4354-BCAC-46E8_2017-06-20 10:19:59,1961.0,1,1,2,2,1,1,1,0,0,0,170,0,0,0,0,27,26,26,23,0,0,0,0,0,0,0,0,0,0,0,8,8,10,5,7,12,18,945299.0,0,0,0,0,0,0,0,0,0,0.9979298186347992,1,170,4A25-CB25-4354-BCAC-46E8
925,4F2E-88CE-8C49-55B7-A283_2017-07-21 02:15:01,43377.0,1,1,13,7,1,1,13,0,0,0,1347,0,16,0,0,184,157,135,150,6,0,0,0,0,0,0,0,0,0,0,100,87,62,68,132,137,145,5254547.0,0,0,16,16,0,0,0,0,16,0.9918124533307764,1,1363,4F2E-88CE-8C49-55B7-A283
926,3BFB-FF3C-5E46-2298-B394_2017-09-16 10:45:43,6101.0,12,12,7,5,1,1,43,0,0,31660,0,0,178,1114,1064,1242,1884,2238,2446,2071,1732,1614,1436,1169,1058,1013,1148,1358,1159,1130,983,1020,938,920,964,1079,1058,4681171.0,0,164,14,176,2,0,0,0,176,0.998698390023024,0,31838,3BFB-FF3C-5E46-2298-B394
927,A4A5-CD9C-45E8-86EB-EF36_2017-06-23 07:47:21,1714.0,1,1,5,2,1,1,12,0,0,0,0,142,107,0,1,12,103,16,19,11,13,13,22,14,0,0,0,19,0,0,0,2,0,0,0,4,0,776207.0,0,231,18,107,0,0,0,0,107,0.9977966914378196,0,249,A4A5-CD9C-45E8-86EB-EF36
929,E78F-F777-EFC4-BC6A-7C28_2017-05-15 10:23:38,6380.0,2,2,4,2,1,1,1,0,0,9,703,1327,0,94,58,70,73,64,52,101,89,112,124,118,128,61,125,126,114,108,41,46,53,63,67,70,82,2352474.0,0,1200,127,0,0,0,0,0,0,0.9972952967839468,0,2039,E78F-F777-EFC4-BC6A-7C28
932,5F76-8C7B-B84E-3BB2-B879_2017-11-02 04:03:31,7624.0,4,4,4,3,1,1,33,0,0,3109,0,11961,57,704,538,789,858,741,962,464,419,353,336,305,356,531,377,809,1327,792,469,471,496,700,729,768,833,21518439.0,0,8536,3482,54,3,0,0,0,54,0.9996458246916772,1,15127,5F76-8C7B-B84E-3BB2-B879
936,EF56-B3AD-64E5-CB79-9A4A_2017-11-04 00:55:25,34130.0,9,9,3,4,2,1,16,0,0,500,2,813,1305,31,56,156,155,131,140,228,154,92,85,86,77,57,68,60,62,67,82,106,20,97,117,254,239,1185295.0,0,0,2118,13,1,0,0,1291,1304,0.9720113988150152,1,2620,EF56-B3AD-64E5-CB79-9A4A
937,932D-FD3D-D4FF-6A9A-569A_2017-07-26 22:28:33,2926.0,1,1,5,3,1,1,1,0,0,0,32,285,0,0,0,3,24,34,39,35,27,34,34,31,32,0,3,0,0,0,0,0,0,1,7,6,7,661536.0,0,285,0,0,0,0,0,0,0,0.9955964374185432,0,317,932D-FD3D-D4FF-6A9A-569A
940,738D-E377-DE54-D458-6677_2017-10-28 00:29:10,9019.0,6,6,1,1,1,1,1,0,0,66,10,0,0,0,0,15,6,10,7,1,0,0,0,0,1,1,12,2,0,0,0,0,0,0,4,10,7,1295335.0,0,0,0,0,0,0,0,0,0,0.9930854660621272,1,76,738D-E377-DE54-D458-6677
941,44CF-F3E9-4CE4-4762-A54D_2017-08-19 00:45:13,1346.0,1,1,1,1,1,1,1,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3070960.0,0,0,3,0,0,0,0,0,0,0.9995618925979378,1,3,44CF-F3E9-4CE4-4762-A54D
943,77F8-DB6B-F746-3BCF-EF55_2017-09-17 00:11:55,7356.0,4,4,6,2,1,1,64,0,0,6,0,0,196,2,1,3,4,12,51,10,24,2,0,0,0,0,2,10,5,0,4,0,2,0,54,8,8,2413143.0,0,196,0,192,4,0,0,0,192,0.9969609572241096,1,202,77F8-DB6B-F746-3BCF-EF55
946,5A69-AD3F-69B4-E48A-929D_2017-07-28 07:59:37,52788.0,1,1,2,1,1,1,1,0,0,0,0,38,0,0,0,0,7,4,3,3,2,1,2,1,2,0,9,2,1,1,0,0,0,0,0,0,0,821912.0,0,0,38,0,0,0,0,0,0,0.9396501657711216,0,38,5A69-AD3F-69B4-E48A-929D
949,69EB-ECB3-E458-5877-F7DE_2017-10-27 20:59:18,15554.0,1,1,8,3,1,1,9,0,0,0,367,0,10,0,0,39,27,16,62,1,3,0,1,0,0,1,0,0,0,0,5,9,21,23,43,57,69,8160766.0,0,0,10,10,0,0,0,0,10,0.9980976771946304,1,377,69EB-ECB3-E458-5877-F7DE
952,4D34-6A8C-DFA4-76DB-D734_2017-09-30 06:07:51,2559.0,4,4,4,2,1,1,24,0,0,163,41,559,236,51,106,47,28,27,3,49,67,19,19,18,17,43,18,10,52,81,49,46,80,51,61,50,7,5028990.0,0,704,91,236,0,0,0,0,236,0.9994914091068178,1,999,4D34-6A8C-DFA4-76DB-D734
957,86B8-FB2A-F8B4-4D39-2B2E_2017-07-15 01:55:26,7650.0,1,1,6,3,1,1,10,0,0,0,1069,0,14,0,0,127,154,191,196,1,0,0,0,0,0,0,0,0,2,0,45,42,45,52,61,67,100,15328887.0,0,0,14,11,3,0,0,0,11,0.9995011911750352,1,1083,86B8-FB2A-F8B4-4D39-2B2E
958,94C4-94CE-5AD4-248E-772D_2017-08-22 04:07:17,1302.0,1,1,2,1,1,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15455017.0,0,0,0,0,0,0,0,0,0,0.9999157626081604,1,2,94C4-94CE-5AD4-248E-772D
959,3938-8BF6-2F54-C4AA-858F_2017-11-06 13:32:34,2450.0,2,2,3,1,1,1,1,0,0,97,0,0,0,0,0,3,11,21,4,0,0,0,0,15,17,0,0,0,3,5,0,1,0,0,2,15,0,4082924.0,0,0,0,0,0,0,0,0,0,0.999400299703283,1,97,3938-8BF6-2F54-C4AA-858F
964,557D-DC9E-2B4F-AFB3-65A2_2017-08-10 06:49:30,2037.0,2,2,6,4,1,1,2,0,0,63,53,143,3,3,0,26,29,14,13,13,13,14,14,14,13,0,15,1,2,7,8,5,5,6,35,7,5,1447173.0,0,0,146,3,0,0,0,0,3,0.998594406607738,1,262,557D-DC9E-2B4F-AFB3-65A2
965,557D-DC9E-2B4F-AFB3-65A2_2017-08-28 16:29:23,6796.0,1,1,6,5,1,1,2,0,0,0,0,77,5,0,0,6,5,7,8,7,8,7,6,6,8,0,8,5,0,1,0,0,0,0,0,0,0,1587956.0,0,34,48,5,0,0,0,0,5,0.9957385223533188,1,82,557D-DC9E-2B4F-AFB3-65A2
966,787A-E5B8-A984-B5A9-5B5F_2017-05-21 13:01:34,7852.0,3,3,4,3,1,1,2,0,0,83,230,914,41,2,2,67,63,143,109,102,104,102,104,103,118,25,14,3,0,0,32,34,29,30,24,31,27,721437.0,0,710,245,41,0,0,0,0,41,0.9892333491935296,1,1268,787A-E5B8-A984-B5A9-5B5F
967,3B82-BECF-DEA4-7498-555A_2017-08-18 11:55:13,616936.0,2,2,5,5,1,1,1,0,0,174,37,96,0,7,18,13,35,32,34,20,8,18,14,14,10,16,8,3,5,0,18,11,6,0,7,3,7,268852.0,0,0,96,0,0,0,0,0,0,0.303517320171418,0,307,3B82-BECF-DEA4-7498-555A
970,4ADD-FADC-F534-A3A2-E464_2017-08-17 11:04:29,230189.0,3,3,1,1,1,1,1,0,0,146,0,0,0,6,2,0,5,12,19,35,5,0,0,0,0,5,0,0,0,0,0,4,11,4,1,28,9,690904.0,0,0,0,0,0,0,0,0,0,0.7500914674196851,1,146,4ADD-FADC-F534-A3A2-E464
971,4F3A-3922-A5F4-DFE8-C767_2017-09-19 01:12:33,1202.0,3,3,1,1,1,1,2,0,0,25,22,0,2,0,13,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,12,8,5,1,0,2,1386351.0,0,0,2,2,0,0,0,0,2,0.9991337267837695,0,49,4F3A-3922-A5F4-DFE8-C767
973,42C2-B4A8-9B45-4EA8-FF25_2017-09-21 22:06:49,1077.0,12,12,8,4,1,1,11,0,0,870,1319,4139,112,161,165,446,366,371,250,223,224,212,211,220,205,285,216,253,150,147,302,251,275,324,340,325,518,7146984.0,0,2314,1937,45,22,0,0,45,90,0.99984932976929,1,6440,42C2-B4A8-9B45-4EA8-FF25
974,24CA-A72C-9634-39B3-2ACD_2017-05-15 10:49:47,38953.0,13,13,15,5,1,1,9,0,0,7089,1098,450,17,230,307,764,749,614,291,138,119,95,92,82,105,444,77,482,248,308,393,429,494,573,510,518,592,2379137.0,0,11,456,8,9,0,0,0,8,0.98389100488402,1,8654,24CA-A72C-9634-39B3-2ACD
975,F73A-8CD5-B494-49C9-6632_2017-08-28 01:15:03,800585.0,2,2,1,1,1,1,1,0,0,1318,253,0,0,85,104,124,41,9,0,0,0,0,0,0,0,109,0,0,0,126,116,135,123,182,153,125,139,3016885.0,0,0,0,0,0,0,0,0,0,0.7902838791136538,0,1571,F73A-8CD5-B494-49C9-6632
976,A75E-9CFE-E454-A9E9-36A2_2017-06-04 07:34:28,864444.0,5,5,6,3,1,1,2,0,0,36,81,469,2,10,26,46,42,36,39,17,0,4,0,0,0,35,0,0,0,0,37,43,59,52,39,46,57,257021.0,0,469,2,0,2,0,0,0,0,0.2291832558305431,1,588,A75E-9CFE-E454-A9E9-36A2
978,7B5F-2945-448E-B99D-56FB_2017-08-27 18:54:17,7049.0,1,1,5,2,1,1,25,0,0,0,0,0,450,0,6,13,45,81,50,49,15,9,0,0,0,7,0,0,10,7,21,30,27,34,32,10,4,5778794.0,0,449,1,450,0,0,0,0,450,0.9987816814248156,0,450,7B5F-2945-448E-B99D-56FB
979,D64C-A524-454F-7FAA-3279_2017-10-08 03:39:40,1142.0,4,4,7,6,2,1,6,0,0,7,138,9,14,9,6,9,13,14,10,12,3,2,2,0,2,2,0,0,0,4,0,9,13,16,15,13,14,3796923.0,0,2,21,14,0,0,0,0,14,0.9996993205750824,1,168,D64C-A524-454F-7FAA-3279
980,FD68-BFCC-5C94-ED4A-7E94_2017-07-19 19:44:02,2876.0,1,1,4,1,1,1,2,0,0,0,0,217,1,0,0,0,0,0,34,18,19,30,24,27,17,0,23,11,14,0,0,0,0,0,0,1,0,1242500.0,0,0,218,1,0,0,0,0,1,0.997690657279408,1,218,FD68-BFCC-5C94-ED4A-7E94
981,CB46-2332-6464-F62A-9BF9_2017-08-02 08:43:07,171042.0,5,5,17,6,1,1,11,0,0,3463,61,1588,21,206,217,214,199,194,184,161,184,177,176,180,184,216,183,183,185,185,202,262,287,307,301,308,238,524434.0,0,945,664,18,3,0,0,0,18,0.7540648419212166,0,5133,CB46-2332-6464-F62A-9BF9
983,2D82-3C9E-AE24-69E8-E3D4_2017-09-02 01:57:13,21515.0,5,5,2,1,1,1,1,0,0,235,0,0,0,27,15,7,13,3,1,0,0,0,0,0,0,11,0,0,0,17,9,8,12,37,32,31,12,1814719.0,0,0,0,0,0,0,0,0,0,0.988283083746407,1,235,2D82-3C9E-AE24-69E8-E3D4
984,AA3E-CC6D-3FE7-4EA2-864B_2017-07-19 06:18:18,96816.0,1,1,1,1,1,1,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,1750193.0,0,0,0,0,0,0,0,0,0,0.947582280324568,0,7,AA3E-CC6D-3FE7-4EA2-864B
988,67BB-2987-A3A4-3529-47EF_2017-09-07 03:38:30,17771.0,1,1,3,2,1,1,4,0,0,0,5,434,57,1,0,4,22,64,72,45,33,46,48,50,46,3,45,5,0,0,0,2,0,4,5,1,0,6894065.0,0,0,491,57,0,0,0,0,57,0.9974289031163356,1,496,67BB-2987-A3A4-3529-47EF
990,CE6B-FA93-6B49-ACAC-773E_2017-11-01 15:10:15,3100.0,8,8,6,3,1,1,2,0,0,3234,1084,811,1,172,181,372,281,168,173,140,42,69,51,28,108,107,315,147,151,225,124,244,475,519,295,301,442,3259457.0,0,811,1,1,0,0,0,0,1,0.9990498250298768,1,5130,CE6B-FA93-6B49-ACAC-773E
991,88EE-BDF6-CCB4-CBC9-5768_2017-11-02 06:11:34,97898.0,5,5,5,1,1,1,3,0,0,307,0,410,3,10,7,32,47,23,79,57,56,47,45,39,42,34,44,3,10,11,7,22,23,23,20,18,21,6252745.0,0,0,413,3,0,0,0,0,3,0.9845845530917106,1,720,88EE-BDF6-CCB4-CBC9-5768
993,FD68-BFCC-5C94-ED4A-7E94_2017-10-03 06:17:10,5321.0,3,3,6,2,1,1,1,0,0,15,0,768,0,0,0,0,2,7,120,90,72,64,72,67,83,0,73,74,53,3,2,0,1,0,0,0,0,1005740.0,0,106,662,0,0,0,0,0,0,0.9947372117013712,1,783,FD68-BFCC-5C94-ED4A-7E94
994,3EF5-B272-284D-D94C-F85E_2017-10-17 14:46:04,2166.0,9,9,3,3,1,1,5,0,0,1449,319,48,4,55,19,336,85,70,63,3,1,3,0,0,2,25,45,163,169,47,65,175,86,60,59,119,170,872816.0,0,0,52,4,0,0,0,0,4,0.9975245205044218,1,1820,3EF5-B272-284D-D94C-F85E
995,32A9-6AF8-7235-48A9-9A5B_2017-11-01 15:10:52,3068.0,1,1,10,1,1,1,1,0,0,0,684,0,0,0,49,61,58,0,0,0,0,0,0,0,0,53,0,0,0,0,41,66,76,70,64,73,73,7973774.0,0,0,0,0,0,0,0,0,0,0.9996153866404776,1,684,32A9-6AF8-7235-48A9-9A5B
996,F53A-5FDC-8542-94C3-342D_2017-10-19 03:44:21,1121.0,1,1,6,3,1,1,2,0,0,0,0,429,22,3,1,53,72,38,38,29,34,33,38,35,31,0,25,1,3,6,0,0,0,0,0,7,4,2640308.0,0,0,451,0,22,0,0,0,0,0.9995756085058504,1,451,F53A-5FDC-8542-94C3-342D
997,FD68-BFCC-5C94-ED4A-7E94_2017-06-20 12:56:21,49373.0,2,2,7,2,1,1,1,0,0,33,496,882,0,0,2,46,61,59,135,150,71,84,86,84,85,6,87,89,114,3,4,35,15,27,50,58,60,2237777.0,0,0,882,0,0,0,0,0,0,0.9784128719148284,1,1411,FD68-BFCC-5C94-ED4A-7E94
1000,7B5F-2945-448E-B99D-56FB_2017-05-09 08:07:09,3896.0,1,1,3,2,1,1,4,0,0,0,0,0,81,18,2,5,0,9,19,0,0,0,0,0,0,0,0,0,0,0,0,3,1,12,3,9,0,1865451.0,0,60,21,81,0,0,0,0,81,0.9979158497593008,0,81,7B5F-2945-448E-B99D-56FB
1001,6F6C-5DAD-2BA6-457A-B46B_2017-07-04 00:15:09,6865.0,7,7,8,4,1,1,7,0,0,268,0,774,13,0,4,11,22,17,22,10,7,113,137,171,146,6,130,113,109,4,0,11,2,2,2,3,13,1461433.0,0,774,13,8,5,0,0,0,8,0.9953245185922748,1,1055,6F6C-5DAD-2BA6-457A-B46B
1003,9669-E84D-EA4B-248F-D75C_2017-05-01 16:04:18,18620.0,7,7,5,5,1,1,1,0,0,499,267,945,0,53,96,107,192,151,60,37,27,27,27,27,26,96,43,92,48,32,80,76,63,101,71,83,96,670050.0,0,939,6,0,0,0,0,0,0,0.9729623767551948,1,1711,9669-E84D-EA4B-248F-D75C
1004,8324-BB69-ADC4-FCD9-3A7B_2017-05-21 01:57:29,2390.0,3,3,11,2,1,1,3,0,0,1641,720,0,4,51,34,118,229,290,308,164,105,11,4,0,0,43,0,6,26,279,107,113,51,87,104,137,98,7616146.0,0,4,0,4,0,0,0,0,4,0.99968629143447,1,2365,8324-BB69-ADC4-FCD9-3A7B
1008,E78F-F777-EFC4-BC6A-7C28_2017-10-25 05:26:59,7459.0,5,5,4,2,1,1,1,0,0,1325,611,789,0,27,38,203,234,199,155,178,163,166,110,102,90,61,78,91,100,30,79,88,85,65,93,134,156,2847161.0,0,789,0,0,0,0,0,0,0,0.997387042758756,0,2725,E78F-F777-EFC4-BC6A-7C28
1010,CB46-2332-6464-F62A-9BF9_2017-09-21 03:14:33,304213.0,6,6,19,5,1,1,15,0,0,1914,494,22271,38,1083,1270,1030,963,939,952,873,871,886,904,871,927,1206,905,897,864,912,1130,1119,1156,1267,1260,1260,1172,4129244.0,0,21992,317,38,0,0,0,0,38,0.9313824403845576,0,24717,CB46-2332-6464-F62A-9BF9
1013,F766-5D7F-3BF4-659B-AE6F_2017-05-06 09:04:27,5386.0,4,4,2,2,1,1,2,0,0,127,1,0,4,0,0,71,16,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1827436.0,0,4,0,0,4,0,0,0,0,0.997061362205386,0,132,F766-5D7F-3BF4-659B-AE6F
1016,E8F7-9BDA-A456-4B6B-6442_2017-09-20 23:29:20,1059.0,1,1,2,2,1,1,1,0,0,0,0,3258,0,0,0,0,0,267,430,429,421,424,436,426,416,0,9,0,0,0,0,0,0,0,0,0,0,5440733.0,0,0,3258,0,0,0,0,0,0,0.9998053949875336,1,3258,E8F7-9BDA-A456-4B6B-6442
1018,D64C-A524-454F-7FAA-3279_2017-08-25 03:26:18,5479.0,1,1,1,1,1,1,1,0,0,0,13,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,3,871466.0,0,0,0,0,0,0,0,0,0,0.9937521737395162,1,13,D64C-A524-454F-7FAA-3279
1019,4E88-4928-EDE4-A9B4-F498_2017-10-22 01:34:40,21914.0,1,1,2,1,1,1,1,0,0,0,989,0,0,0,0,104,92,104,122,0,0,0,0,0,0,0,0,0,0,0,74,114,93,61,80,66,79,6648116.0,0,0,0,0,0,0,0,0,0,0.9967145575057385,1,989,4E88-4928-EDE4-A9B4-F498
1020,CD74-F2B7-D3E9-4669-B9DC_2017-07-21 22:07:53,1002.0,1,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5343001.0,0,0,2,2,0,0,0,0,2,0.999812500105258,1,2,CD74-F2B7-D3E9-4669-B9DC
1023,8E3E-A46A-2247-B886-A942_2017-08-21 14:16:28,2829.0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1489886.0,0,1,0,1,0,0,0,0,1,0.9981047956240808,1,1,8E3E-A46A-2247-B886-A942
1024,6F6C-5DAD-2BA6-457A-B46B_2017-06-15 04:07:49,1148.0,10,10,7,4,1,1,7,0,0,848,0,2983,15,15,33,19,29,89,86,60,77,460,563,522,451,25,430,426,422,47,11,12,6,15,15,20,13,12909562.0,0,2828,170,7,8,0,0,0,7,0.9999110815749096,1,3846,6F6C-5DAD-2BA6-457A-B46B
1027,F53A-5FDC-8542-94C3-342D_2017-09-18 14:00:50,1103.0,1,1,6,4,1,1,4,0,0,0,0,532,7,0,0,25,88,59,49,48,44,52,48,44,48,0,26,1,3,0,0,0,1,0,0,2,1,2018318.0,0,0,539,1,6,0,0,0,1,0.9994538038378328,1,539,F53A-5FDC-8542-94C3-342D
1028,76C7-2454-5B4F-629C-DE49_2017-10-19 04:06:55,6936.0,1,1,5,3,1,1,22,0,0,0,57,0,338,51,34,9,11,10,6,7,2,6,0,0,0,15,36,0,0,2,16,3,7,14,78,72,16,4045323.0,0,338,0,337,1,0,0,0,337,0.99828836212098,1,395,76C7-2454-5B4F-629C-DE49
