,__EVENTCASE__,__PARENTALCONTROL__death_period,__PARENTALCONTROL__distinct_payload_app_id,__PARENTALCONTROL__distinct_payload_app_name,__PARENTALCONTROL__distinct_payload_device_id,__PARENTALCONTROL__distinct_payload_member_id,__PARENTALCONTROL__distinct_payload_profile_id,__PARENTALCONTROL__distinct_payload_reason,__PARENTALCONTROL__distinct_payload_url,__PARENTALCONTROL__event_type_continue_browsing_allowed,__PARENTALCONTROL__event_type_continue_browsing_requested,__PARENTALCONTROL__event_type_inappropriate_app_detected,__PARENTALCONTROL__event_type_kids_back_to_home,__PARENTALCONTROL__event_type_network_time_limited,__PARENTALCONTROL__event_type_web_site_filtered,__PARENTALCONTROL__hours_of_day_0,__PARENTALCONTROL__hours_of_day_1,__PARENTALCONTROL__hours_of_day_10,__PARENTALCONTROL__hours_of_day_11,__PARENTALCONTROL__hours_of_day_12,__PARENTALCONTROL__hours_of_day_13,__PARENTALCONTROL__hours_of_day_14,__PARENTALCONTROL__hours_of_day_15,__PARENTALCONTROL__hours_of_day_16,__PARENTALCONTROL__hours_of_day_17,__PARENTALCONTROL__hours_of_day_18,__PARENTALCONTROL__hours_of_day_19,__PARENTALCONTROL__hours_of_day_2,__PARENTALCONTROL__hours_of_day_20,__PARENTALCONTROL__hours_of_day_21,__PARENTALCONTROL__hours_of_day_22,__PARENTALCONTROL__hours_of_day_23,__PARENTALCONTROL__hours_of_day_3,__PARENTALCONTROL__hours_of_day_4,__PARENTALCONTROL__hours_of_day_5,__PARENTALCONTROL__hours_of_day_6,__PARENTALCONTROL__hours_of_day_7,__PARENTALCONTROL__hours_of_day_8,__PARENTALCONTROL__hours_of_day_9,__PARENTALCONTROL__live_period,__PARENTALCONTROL__locale,__PARENTALCONTROL__payload_action_accept,__PARENTALCONTROL__payload_action_block,__PARENTALCONTROL__payload_cat_id_0,__PARENTALCONTROL__payload_cat_id_1,__PARENTALCONTROL__payload_cat_id_2,__PARENTALCONTROL__payload_cat_id_3,__PARENTALCONTROL__payload_cat_id_4,__PARENTALCONTROL__payload_cat_name_,__PARENTALCONTROL__rate,__PARENTALCONTROL__station_final_status,__PARENTALCONTROL__total_event,__STATIONID__
713,8E3E-A46A-2247-B886-A942_2017-10-11 04:07:44,2915.0,1,1,1,1,1,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4367047.0,0,2,0,1,1,0,0,0,1,0.9993329461446118,1,2,8E3E-A46A-2247-B886-A942
720,23CB-FEBF-BC3F-452F-97D4_2017-07-19 07:46:59,86434.0,5,5,10,3,1,1,1,0,0,787,285,2595,0,8,4,243,300,512,366,294,291,296,277,287,77,14,11,27,2,2,13,32,35,51,135,198,192,1336427.0,0,1692,903,0,0,0,0,0,0,0.9392533775259846,1,3667,23CB-FEBF-BC3F-452F-97D4
724,83C4-DB39-F9FA-4ACB-AA34_2017-04-13 02:56:25,1583.0,5,5,3,2,1,1,1,0,0,28,0,1239,0,42,42,44,65,67,66,66,61,62,60,65,65,38,64,69,55,29,38,41,56,44,40,42,46,2421934.0,0,0,1239,0,0,0,0,0,0,0.999346817043165,1,1267,83C4-DB39-F9FA-4ACB-AA34
725,CC2D-3E58-46B4-92C6-8A5A_2017-06-16 00:29:35,403869.0,6,6,9,2,1,1,10,0,0,419,15,4702,30,246,225,254,233,250,225,207,178,199,190,191,188,200,188,197,198,228,196,193,211,242,255,224,248,1015538.0,0,4702,30,28,2,0,0,0,28,0.715466388428407,1,5166,CC2D-3E58-46B4-92C6-8A5A
726,5396-A63D-534B-6EBA-C676_2017-05-17 00:38:38,15585.0,1,1,1,1,1,1,1,0,0,8,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1389210.0,0,0,0,0,0,0,0,0,0,0.9889058545908832,1,8,5396-A63D-534B-6EBA-C676
729,8EE4-B352-DB44-628E-ADFE_2017-06-10 16:50:02,4310.0,3,3,3,3,1,1,6,0,0,2563,89,224,40,17,2,291,572,579,292,92,107,46,40,25,22,3,27,30,183,41,20,25,36,91,166,77,132,811631.0,0,0,264,40,0,0,0,0,40,0.9947177553278976,1,2916,8EE4-B352-DB44-628E-ADFE
732,683C-973C-5364-D6EA-9AC2_2017-09-01 11:58:03,2499.0,8,8,11,5,1,1,7,0,0,1510,1185,419,68,112,82,143,192,169,46,28,12,12,14,13,19,219,126,122,139,98,251,239,247,244,224,245,186,1719757.0,0,201,286,68,0,0,0,0,68,0.9985489962003326,1,3182,683C-973C-5364-D6EA-9AC2
733,E7A2-B5D4-2E97-4AED-B6DD_2017-08-26 08:34:44,4977.0,1,1,6,3,1,1,1,0,0,0,489,1324,0,0,0,68,97,132,124,153,132,177,161,121,126,0,130,104,26,0,0,29,30,31,36,71,65,2492951.0,0,918,406,0,0,0,0,0,0,0.9980075486563263,1,1813,E7A2-B5D4-2E97-4AED-B6DD
734,B2DD-A798-D426-DB5D-A8F3_2017-08-31 17:07:35,1916.0,7,7,11,4,1,1,31,0,0,440,799,2126,223,4,51,124,150,167,390,335,375,302,203,161,178,57,159,190,23,8,77,82,114,105,119,105,109,5523274.0,0,2318,31,215,8,0,0,0,215,0.9996532245949912,1,3588,B2DD-A798-D426-DB5D-A8F3
736,5CF4-94E8-A84F-58DA-2AFC_2017-11-08 06:53:21,5109.0,1,1,1,2,2,1,4,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,1,0,18937412.0,0,2,5,0,7,0,0,0,0,0.9997302893316048,1,7,5CF4-94E8-A84F-58DA-2AFC
