,__EVENTCASE__,__STATIONID__,__STATION__death_period,__STATION__distinct_payload_firmware_version,__STATION__distinct_payload_gateway_mac,__STATION__distinct_payload_ip,__STATION__distinct_payload_profile_id,__STATION__entropy_for_hours_of_day,__STATION__event_type_condition_updated,__STATION__event_type_license_updated,__STATION__event_type_malfunctioning_state_changed,__STATION__event_type_status_changed,__STATION__hours_of_day_0,__STATION__hours_of_day_1,__STATION__hours_of_day_10,__STATION__hours_of_day_11,__STATION__hours_of_day_12,__STATION__hours_of_day_13,__STATION__hours_of_day_14,__STATION__hours_of_day_15,__STATION__hours_of_day_16,__STATION__hours_of_day_17,__STATION__hours_of_day_18,__STATION__hours_of_day_19,__STATION__hours_of_day_2,__STATION__hours_of_day_20,__STATION__hours_of_day_21,__STATION__hours_of_day_22,__STATION__hours_of_day_23,__STATION__hours_of_day_3,__STATION__hours_of_day_4,__STATION__hours_of_day_5,__STATION__hours_of_day_6,__STATION__hours_of_day_7,__STATION__hours_of_day_8,__STATION__hours_of_day_9,__STATION__live_period,__STATION__locale,__STATION__payload_malfunctioning_false,__STATION__payload_malfunctioning_true,__STATION__payload_offline_trigger_AU_GRACEFUL_SHUTDOWN,__STATION__payload_offline_trigger_MQTT_LASTWILL,__STATION__payload_status_OFFLINE,__STATION__payload_status_ONLINE,__STATION__rate,__STATION__station_final_status,__STATION__total_event
1027,24CA-A72C-9634-39B3-2ACD_2017-05-15 10:49:47,24CA-A72C-9634-39B3-2ACD,38953.0,1,1,2,2,1.9545182835673869,0,0,0,67,0,3,8,7,13,1,0,0,0,0,2,0,2,0,2,1,0,2,2,4,10,1,6,3,2379137.0,0,67,0,1,18,19,48,0.98389100488402,1,67
1028,F766-5D7F-3BF4-659B-AE6F_2017-04-15 04:25:58,F766-5D7F-3BF4-659B-AE6F,3673.0,2,1,9,2,1.1329015890520353,0,0,0,26,0,1,0,0,0,2,2,2,0,0,0,2,7,0,0,0,2,1,5,0,0,2,0,0,3553202.0,0,26,0,1,9,10,16,0.998967351959234,0,26
1029,9976-98F8-A843-3988-C569_2017-08-28 08:45:50,9976-98F8-A843-3988-C569,160880.0,2,2,2,3,1.0556698482148017,28,1,0,4,1,0,6,0,0,0,0,0,7,0,0,0,0,0,0,7,3,0,8,0,0,0,1,0,638814.0,0,33,0,1,1,2,31,0.7988230498165548,1,33
1030,9FC2-BD77-4FE3-4D9A-DEEB_2017-06-15 21:26:57,9FC2-BD77-4FE3-4D9A-DEEB,2835.0,1,1,3,2,1.3279903901822112,0,0,0,30,0,0,2,0,0,0,0,0,2,3,0,4,1,0,1,4,0,3,0,6,4,0,0,0,2660808.0,0,30,0,0,17,17,13,0.9989356681807584,1,30
1032,DF3B-B96E-A3B4-BAA5-F744_2016-12-17 05:12:52,DF3B-B96E-A3B4-BAA5-F744,8173.0,2,1,1,1,0.3445982481028228,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,602978.0,0,4,0,0,1,1,3,0.986626872900478,1,4
1033,D46B-8A5F-78A4-55CA-BB4D_2017-09-11 11:51:41,D46B-8A5F-78A4-55CA-BB4D,75295.0,2,2,2,2,1.3497923961724003,70,0,0,7,0,6,0,16,0,6,0,0,0,11,0,6,0,0,0,0,11,2,0,12,0,6,0,1,1484664.0,0,77,0,1,2,3,74,0.9517327057954728,1,77
1035,7AD7-9C47-5944-6A97-939F_2017-04-01 06:47:33,7AD7-9C47-5944-6A97-939F,2011.0,3,1,3,1,0.97610557717795,0,0,0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,4,3,2,0,6569185.0,0,15,0,1,3,4,11,0.9996939674299776,1,15
1036,FD68-BFCC-5C94-ED4A-7E94_2017-05-01 07:23:10,FD68-BFCC-5C94-ED4A-7E94,1729.0,3,1,2,2,2.647665464127332,0,0,0,367,15,22,3,14,19,14,0,6,6,48,32,33,6,33,16,23,17,11,6,4,14,9,10,6,4593997.0,0,367,0,2,58,60,307,0.9996237808781464,1,367
1038,68E9-9345-FFB4-C48A-B8BA_2017-09-03 23:39:03,68E9-9345-FFB4-C48A-B8BA,41433.0,2,2,45,2,2.0369667824809863,123,0,0,50,3,0,22,0,3,0,0,51,20,0,3,0,0,1,7,20,1,9,21,0,2,1,2,7,3657994.0,0,173,0,0,4,4,169,0.9888001574297858,1,173
1039,4FF8-AAF6-58FD-4476-94E2_2017-08-13 03:21:29,4FF8-AAF6-58FD-4476-94E2,14996.0,6,2,3,2,1.5312646501273104,35,0,0,22,0,1,2,0,0,0,0,9,0,0,2,1,0,0,9,0,0,13,3,1,0,3,1,12,11239901.0,0,57,0,2,8,10,47,0.99866760220018,1,57
1041,F73A-8CD5-B494-49C9-6632_2017-07-24 01:24:25,F73A-8CD5-B494-49C9-6632,6553.0,2,1,2,2,0.6519508373776711,0,1,0,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,1128172.0,0,7,0,0,2,2,5,0.9942250324968605,0,7
1042,3CCF-E82C-82E4-2E69-3D67_2017-11-04 09:18:12,3CCF-E82C-82E4-2E69-3D67,8915.0,1,2,2,2,1.3767266534724054,45,0,6,15,6,5,4,0,8,7,0,0,0,0,6,5,0,0,0,0,0,0,0,0,6,7,5,7,952037.0,0,66,0,0,7,7,59,0.9907227416145656,1,66
1043,C7D3-F69F-E734-4B4B-FC26_2017-09-24 16:00:50,C7D3-F69F-E734-4B4B-FC26,311008.0,2,2,2,2,2.152491312574311,111,0,8,106,19,6,12,2,22,4,4,4,23,8,29,6,2,15,6,15,6,2,12,2,18,2,2,4,2402553.0,0,221,4,1,52,53,172,0.8853875037266529,1,225
1044,87F9-94DF-432B-43DD-9D3C_2017-10-22 15:17:35,87F9-94DF-432B-43DD-9D3C,492049.0,8,2,13,2,2.5568271679009458,318,0,0,43,5,0,4,43,5,0,32,6,0,45,3,0,31,32,5,1,42,11,4,47,2,6,33,4,17088416.0,0,361,0,7,12,19,342,0.9720116049262634,1,361
1046,9F68-CF42-B582-43B6-A488_2017-04-28 13:38:38,9F68-CF42-B582-43B6-A488,10496.0,1,1,7,2,1.05938459334224,0,0,0,17,0,0,2,0,0,1,0,2,2,1,0,0,1,0,2,3,0,0,0,3,0,0,0,0,763119.0,0,17,0,0,8,8,9,0.9864325278077596,1,17
1048,8D93-7288-3734-77AB-29AF_2017-09-26 17:30:24,8D93-7288-3734-77AB-29AF,17121.0,3,2,2,2,2.2433296088006967,211,0,0,85,4,22,3,33,4,24,2,4,4,61,2,21,1,1,1,5,33,4,6,33,2,23,1,2,7418196.0,0,296,0,2,40,42,254,0.9976973409472656,1,296
1049,D472-D57C-8D9D-493B-9452_2017-07-09 23:43:38,D472-D57C-8D9D-493B-9452,1682.0,2,1,2,2,2.1265965771766595,0,0,0,113,13,10,6,0,0,0,6,0,7,0,0,6,3,3,8,7,14,0,3,2,6,2,1,16,1124125.0,0,113,0,1,66,67,46,0.9985059606131425,1,113
1050,63D3-3E9F-7944-43B6-AB4A_2017-07-09 05:58:10,63D3-3E9F-7944-43B6-AB4A,4229.0,7,1,3,2,1.2688458763029875,0,1,0,28,1,0,2,0,3,0,0,0,0,2,0,0,0,2,1,0,0,4,4,4,0,2,4,0,13653797.0,0,29,0,4,8,12,17,0.9996903652109024,1,29
1052,88BF-39AC-A74C-7846-EF2F_2017-05-14 13:54:24,88BF-39AC-A74C-7846-EF2F,1899.0,2,1,5,2,0.5442837329694393,0,1,0,8,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,778006.0,0,9,0,0,4,4,5,0.9975650880555964,1,9
1053,372F-DACF-3A47-26AC-DB7B_2017-10-28 22:57:53,372F-DACF-3A47-26AC-DB7B,463161.0,1,2,2,2,1.033867842224612,17,0,0,6,0,4,2,0,0,4,0,3,0,0,0,5,0,0,0,1,0,0,0,0,0,4,0,0,373732.0,0,23,0,0,3,3,20,0.44657082805089776,1,23
1054,5FC3-9589-9DA4-435B-824D_2017-10-03 12:37:41,5FC3-9589-9DA4-435B-824D,4172.0,1,2,2,2,1.7405117043237694,65,0,0,13,0,0,7,10,1,0,1,0,8,12,0,0,0,0,0,6,14,0,7,9,0,1,2,0,1399323.0,0,78,0,0,6,6,72,0.9970274208315668,1,78
1055,F5D7-FC38-3245-E588-6EBB_2017-09-30 08:53:42,F5D7-FC38-3245-E588-6EBB,4398.0,2,2,2,2,1.5509284726296326,97,0,0,6,0,21,0,2,0,21,0,1,0,2,0,21,1,0,1,0,2,3,0,3,0,23,1,1,2097918.0,0,103,0,1,2,3,100,0.9979080214392128,1,103
1056,5574-89B8-E3AE-42E7-8554_2017-10-08 03:15:59,5574-89B8-E3AE-42E7-8554,1049.0,8,2,5,2,1.88435274054966,258,1,6,25,31,34,4,2,31,34,0,0,0,0,33,37,2,0,0,0,0,10,1,4,31,34,2,0,15719055.0,0,288,2,6,6,12,278,0.9999332701615714,0,290
1057,39FD-B728-E4DB-FAFF-24C6_2017-07-26 00:16:18,39FD-B728-E4DB-FAFF-24C6,1212.0,2,1,2,2,0.7792259517391736,0,1,0,9,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1517834.0,0,10,0,0,3,3,7,0.9992021308110484,1,10
1058,DE9D-355C-A3F4-FE88-FF92_2017-10-05 02:28:25,DE9D-355C-A3F4-FE88-FF92,1538.0,2,2,7,2,3.1780538303479453,170,0,0,8631,501,363,740,616,450,107,79,41,166,135,115,210,177,255,226,270,346,382,305,458,812,753,642,652,4099922.0,0,8801,0,1,3959,3960,4841,0.9996250115812418,1,8801
1059,72BC-76A7-B48F-A8EB-C7FC_2017-08-20 19:46:46,72BC-76A7-B48F-A8EB-C7FC,1996.0,1,2,2,2,0.9979075831681395,46,0,0,4,0,0,0,11,0,0,0,0,0,11,0,1,0,1,0,0,12,0,0,12,2,0,0,0,1035014.0,0,50,0,0,2,2,48,0.9980752355329264,1,50
1060,7FCF-8445-42A9-496D-AC6C_2017-05-28 21:35:45,7FCF-8445-42A9-496D-AC6C,7518.0,1,1,3,2,0.5140966973399506,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,656275.0,0,6,0,0,2,2,4,0.988674180053119,1,6
1061,D55C-838B-D49D-9547-DD3F_2017-10-19 04:07:06,D55C-838B-D49D-9547-DD3F,2259.0,2,2,2,2,3.1202915653012853,176,0,2,2586,221,89,157,183,197,143,32,21,2,0,51,2,66,8,63,273,215,154,136,132,195,150,166,108,3871908.0,0,2763,1,2,1290,1292,1472,0.9994169069118599,1,2764
1062,38F5-3245-BD64-758B-52EB_2017-09-24 03:55:42,38F5-3245-BD64-758B-52EB,6482.0,2,2,3,2,0.97610557717795,43,1,0,3,0,0,0,2,0,0,11,0,0,0,0,0,11,11,1,0,0,1,0,0,0,0,10,0,924827.0,0,47,0,0,1,1,46,0.993039904049032,1,47
1063,42AF-998D-FFE4-3CC8-B926_2017-09-26 15:21:05,42AF-998D-FFE4-3CC8-B926,1734.0,2,2,42,2,1.6154194665829602,140,0,0,88,0,10,0,0,0,14,0,27,0,0,65,13,0,0,24,0,0,27,0,4,6,14,0,24,3031537.0,0,228,0,1,40,41,187,0.9994283399010508,1,228
1064,99BC-F9EE-6BE4-D2F9-49D5_2017-04-17 07:36:50,99BC-F9EE-6BE4-D2F9-49D5,8452.0,4,1,2,2,1.5373561055718774,0,1,0,38,4,4,0,0,1,0,0,0,6,2,0,6,0,0,3,2,1,3,3,0,2,2,0,0,5553611.0,0,39,0,1,13,14,25,0.9984804199449018,0,39
1065,F5E4-333E-F434-953A-A4CB_2017-02-19 13:20:06,F5E4-333E-F434-953A-A4CB,1580.0,4,1,3,1,2.441302637807621,0,1,0,197,4,3,12,8,4,13,19,10,11,10,4,4,9,14,0,0,1,9,14,23,6,12,4,4,5700465.0,0,198,0,1,53,54,144,0.9997229064309384,1,198
1066,D2F9-BB2F-9243-9EAB-2F3F_2017-09-17 09:20:38,D2F9-BB2F-9243-9EAB-2F3F,5201.0,3,2,3,3,1.4562909245092568,44,1,0,12,0,0,10,0,2,1,4,0,10,0,0,0,1,1,0,10,0,2,11,0,0,0,0,5,933740.0,0,57,0,3,3,6,51,0.9944607808158341,1,57
1067,4A25-CB25-4354-BCAC-46E8_2017-09-15 23:00:50,4A25-CB25-4354-BCAC-46E8,12105.0,2,2,2,2,1.1967111294257538,123,0,0,5,0,0,0,0,0,0,19,12,0,0,0,0,19,19,13,0,1,14,0,0,0,0,19,12,2661088.0,0,128,0,1,1,2,126,0.9954717074300284,1,128
1068,3566-597B-ECB4-7828-7CC8_2017-06-12 22:58:35,3566-597B-ECB4-7828-7CC8,4364.0,2,1,2,2,0.3445982481028228,0,1,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,811156.0,0,5,1,0,2,2,4,0.9946488130272708,1,6
1069,69EB-ECB3-E458-5877-F7DE_2017-06-23 08:18:19,69EB-ECB3-E458-5877-F7DE,1595.0,1,1,2,2,0.7315151084145227,0,0,0,11,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,2,0,888685.0,0,11,0,0,7,7,4,0.9982084288089141,1,11
1070,F427-AE39-79E4-4B5A-4DE3_2017-11-04 12:11:04,F427-AE39-79E4-4B5A-4DE3,4773.0,5,2,2,2,2.4053423787511488,371,0,0,92,8,7,11,79,6,5,6,5,8,76,2,5,16,10,6,11,81,11,10,78,6,2,9,5,13387162.0,0,463,0,4,40,44,419,0.9996435914600842,1,463
1071,546C-4D9A-734F-8BD4-2CC3_2017-10-30 12:05:05,546C-4D9A-734F-8BD4-2CC3,6595.0,3,2,2,2,0.961285752584596,248,0,2,8,0,62,0,0,2,62,0,0,0,0,0,64,0,0,0,0,0,2,2,0,0,62,2,0,5354564.0,0,257,1,1,3,4,254,0.998769855548026,1,258
1074,4C7C-D4F7-E85E-4A92-9D85_2017-10-29 10:11:42,4C7C-D4F7-E85E-4A92-9D85,1771.0,3,2,2,2,2.163765337763846,106,1,0,32,5,15,2,5,7,17,6,3,1,3,2,17,1,1,6,3,5,4,2,10,2,15,5,2,2234609.0,0,139,0,0,16,16,123,0.9992080952253196,1,139
1075,23B4-64F3-AAD4-449A-83D6_2017-11-05 23:25:38,23B4-64F3-AAD4-449A-83D6,28939.0,2,2,2,2,2.2073693497442246,136,0,0,38,0,23,9,0,2,22,7,10,7,2,2,25,6,7,0,5,3,2,5,0,3,25,7,2,2999047.0,0,174,0,1,18,19,155,0.9904428223908563,1,174
1076,E39C-9343-59B4-54B8-9DAF_2017-08-28 10:17:03,E39C-9343-59B4-54B8-9DAF,2018.0,1,2,3,2,1.0986122886681098,34,0,2,8,0,0,1,0,0,0,8,0,0,0,0,4,9,8,1,0,0,4,0,0,0,0,9,0,736685.0,0,43,1,0,4,4,40,0.9972681849132872,1,44
1077,86BE-7583-AFE4-4F64-983F_2017-08-11 21:43:52,86BE-7583-AFE4-4F64-983F,117904.0,2,2,5,2,1.5094626441371208,30,0,2,23,0,2,8,0,0,2,0,0,8,0,4,0,0,0,3,9,0,2,7,2,4,0,4,0,3590588.0,0,54,1,1,9,10,45,0.9682070232320846,1,55
1079,3649-E39D-C222-4FD5-BE73_2017-05-21 07:58:51,3649-E39D-C222-4FD5-BE73,56243.0,2,1,6,2,1.0408500236214475,0,0,0,29,2,1,4,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,12,2,0,1144887.0,0,29,0,1,15,16,13,0.9531749269437946,1,29
1080,F6AF-FD73-2549-698D-3EB2_2017-10-30 23:22:39,F6AF-FD73-2549-698D-3EB2,6895.0,3,2,2,2,1.6249871742304454,266,0,0,8,0,11,55,0,0,11,3,0,55,0,0,12,0,0,0,55,1,2,56,0,0,12,1,0,5759092.0,0,274,0,2,2,4,270,0.9988041943209376,1,274
1081,9593-AC2F-A6FE-4CFE-8BAB_2017-06-19 14:53:42,9593-AC2F-A6FE-4CFE-8BAB,85117.0,1,1,2,2,0.5442837329694393,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,1929029.0,0,9,0,0,5,5,4,0.9577404021356942,1,9
1082,7AFE-59D5-7724-783A-895A_2017-01-29 10:38:51,7AFE-59D5-7724-783A-895A,1378.0,2,1,1,1,0.7214636866925115,0,0,0,8,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,1,0,0,2243323.0,0,8,0,1,1,2,6,0.9993861097758676,1,8
1083,957B-7545-34D4-E29A-7C44_2017-07-07 07:26:33,957B-7545-34D4-E29A-7C44,2938531.0,2,1,2,2,0.4563344322932884,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1446898.0,0,4,0,1,1,2,2,0.32993305786047383,1,4
1084,F3C4-2ABA-D477-997F-6FCD_2017-02-18 15:03:37,F3C4-2ABA-D477-997F-6FCD,3596.0,2,1,4,1,0.8151862107956463,0,1,0,11,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,4,0,0,2,0,1,0,0,983824.0,0,12,0,0,4,4,8,0.9963581859796236,0,12
1088,654E-A95F-43E6-A323-E3F9_2017-08-16 02:51:55,654E-A95F-43E6-A323-E3F9,1985.0,3,2,3,2,1.3160801605489951,45,1,0,6,9,0,0,2,9,0,2,0,0,2,9,0,4,3,0,0,0,0,0,0,8,2,2,0,2301731.0,0,52,0,1,2,3,49,0.9991383486506148,1,52
1089,9F68-CF42-B582-43B6-A488_2017-04-18 14:43:56,9F68-CF42-B582-43B6-A488,1596.0,3,1,6,2,1.0556698482148017,0,0,0,22,1,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,3,0,1256242.0,0,22,0,2,8,10,12,0.9987311561584242,1,22
1090,D94F-A322-FE47-FB83-B3E9_2017-09-18 14:04:24,D94F-A322-FE47-FB83-B3E9,3437.0,1,2,3,2,1.7441419765893984,30,0,9,23,0,1,8,15,6,1,4,0,3,0,0,1,3,5,0,3,0,1,5,0,0,1,5,0,642307.0,0,62,0,0,9,9,53,0.994677457320548,1,62
1091,4FFC-8DAB-EB84-A69A-B54F_2017-07-10 20:05:04,4FFC-8DAB-EB84-A69A-B54F,24028.0,1,1,3,2,0.7214636866925115,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,1,2,917672.0,1,8,0,0,3,3,5,0.9744844430285654,1,8
1092,6496-AAA6-7544-359A-9E53_2017-09-14 15:40:44,6496-AAA6-7544-359A-9E53,3147798.0,6,2,3,2,2.303976101724108,158,1,0,26,0,6,15,0,0,5,13,10,14,1,0,3,15,16,12,13,0,15,16,0,2,5,14,10,12031568.0,0,185,0,4,6,10,175,0.7926265168123623,1,185
1093,2A77-D598-6374-DF6B-B5C2_2017-11-02 13:13:49,2A77-D598-6374-DF6B-B5C2,1044.0,1,2,2,2,1.3625684004061223,30,0,0,6,2,2,0,0,0,3,5,0,0,0,0,2,6,5,0,0,1,2,0,0,0,3,5,0,652623.0,0,36,0,0,3,3,33,0.998402856500328,1,36
1094,ED93-33AE-8F4E-4C2F-8EE4_2017-10-06 12:40:41,ED93-33AE-8F4E-4C2F-8EE4,552934.0,1,2,2,2,1.3497923961724008,35,0,0,16,2,0,2,0,3,0,0,13,0,0,0,0,0,0,8,2,0,9,0,2,0,0,1,9,792416.0,0,51,0,0,8,8,43,0.5890036050098487,1,51
1095,A995-D552-D4B4-DCEA-DB5C_2017-07-06 23:16:22,A995-D552-D4B4-DCEA-DB5C,28680.0,3,1,2,2,0.918343312131288,0,1,0,12,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,2,3,0,0,0,1,1,1002234.0,0,13,0,1,5,6,7,0.9721800266559576,1,13
1096,AA3E-CC6D-3FE7-4EA2-864B_2017-07-28 07:35:37,AA3E-CC6D-3FE7-4EA2-864B,1057098.0,1,1,3,2,0.5442837329694393,0,0,4,7,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,1,685423.0,0,8,3,0,3,3,8,0.3933513570281219,0,11
1097,79C8-A9D9-8DF4-E858-C5E6_2017-11-05 08:28:49,79C8-A9D9-8DF4-E858-C5E6,315071.0,3,2,2,2,2.224411830687256,315,0,0,25,44,19,20,2,42,17,0,0,20,0,44,17,0,0,1,23,1,2,22,2,42,17,5,0,6856516.0,0,340,0,2,9,11,329,0.9560667673696212,0,340
1099,D5F7-AF25-EF48-599D-AF97_2017-07-18 01:00:28,D5F7-AF25-EF48-599D-AF97,1549.0,4,1,2,2,2.5208669088444733,0,1,0,263,4,13,21,11,17,11,12,15,2,14,10,16,10,9,7,10,8,6,8,11,14,14,11,10,6184260.0,0,264,0,2,144,146,118,0.9997495881298628,1,264
1100,2DE8-5236-3BC4-AE4B-F25E_2017-09-28 08:00:49,2DE8-5236-3BC4-AE4B-F25E,1140.0,2,2,8,2,1.7659439825795875,92,0,0,21,0,0,21,0,0,0,2,0,21,0,0,2,8,2,1,20,2,2,21,3,4,1,3,0,2008111.0,0,113,0,1,9,10,103,0.999432624395857,1,113
1102,9FC2-BD77-4FE3-4D9A-DEEB_2017-10-03 00:14:14,9FC2-BD77-4FE3-4D9A-DEEB,5648.0,2,2,2,2,2.0842010667269943,146,0,1,32,24,7,13,2,19,9,0,0,11,0,19,7,2,0,2,12,6,2,12,0,19,9,2,2,3201261.0,0,179,0,1,15,16,163,0.9982388025354008,1,179
1103,64AB-94F6-7964-7768-3DBA_2017-05-17 15:16:15,64AB-94F6-7964-7768-3DBA,1843.0,5,1,2,3,1.256611577960283,0,1,0,21,2,5,2,0,0,1,1,1,0,0,0,0,1,2,0,0,0,2,1,0,1,0,3,0,3287432.0,0,22,0,4,3,7,15,0.9994396941575272,1,22
1104,D886-8B4F-F384-9A58-F4E4_2017-07-27 01:09:36,D886-8B4F-F384-9A58-F4E4,96004.0,1,1,2,2,0.97610557717795,0,0,0,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,6,3,3,3171566.0,0,17,0,0,6,6,11,0.9706191451139532,1,17
1105,83C4-DB39-F9FA-4ACB-AA34_2017-05-27 01:57:05,83C4-DB39-F9FA-4ACB-AA34,6744.0,1,1,2,2,0.8358948132176883,0,0,0,23,0,4,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,0,0,4,0,4,2,0,622383.0,0,23,0,0,15,15,8,0.9892803837698908,1,23
1106,57FF-8625-FA67-4FB7-A749_2017-08-18 09:42:46,57FF-8625-FA67-4FB7-A749,3056.0,1,2,2,2,0.7892773734611849,31,0,0,8,0,0,0,12,0,0,0,0,0,8,0,0,0,0,0,0,10,0,0,8,0,0,0,1,684418.0,0,39,0,0,3,3,36,0.9955547409792952,1,39
1108,B73B-D35E-ED45-597B-5BBC_2017-05-12 01:23:21,B73B-D35E-ED45-597B-5BBC,4718.0,1,1,3,2,0.7781325481710262,0,0,0,16,2,2,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,3,2,0,0,0,0,1371028.0,0,16,0,0,6,6,10,0.9965705878846822,1,16
1110,53B2-3BEB-9949-A88C-F58B_2017-06-29 19:46:43,53B2-3BEB-9949-A88C-F58B,403550.0,3,1,2,2,1.1645953713991983,0,1,0,23,0,0,0,2,0,0,2,0,2,0,3,1,1,0,2,0,3,0,2,0,0,3,3,0,1946467.0,0,24,0,1,9,10,14,0.8282778379901081,1,24
1111,43AC-F4AD-4B8B-B2C8-BA77_2017-10-19 04:06:48,43AC-F4AD-4B8B-B2C8-BA77,6064.0,3,2,91,2,2.8674404991244464,211,1,0,298,14,9,8,18,3,21,11,55,17,18,12,13,17,12,52,28,2,60,19,13,17,16,24,51,4588158.0,0,510,0,2,146,148,362,0.9986800811976436,1,510
1112,F343-F374-8C24-AC96-D8C4_2017-01-30 21:56:47,F343-F374-8C24-AC96-D8C4,137567.0,3,1,1,1,1.0408500236214475,0,1,2,12,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,1,4,0,2,0,3,0,0,3341041.0,0,14,1,1,2,3,12,0.960453434247262,1,15
1113,7269-DE3B-D947-559C-EFC5_2017-10-31 16:06:57,7269-DE3B-D947-559C-EFC5,5642.0,2,2,2,2,0.97610557717795,41,1,2,6,0,0,4,11,0,0,0,0,1,10,0,0,0,0,0,0,10,0,0,10,4,0,0,0,884273.0,0,49,1,0,3,3,47,0.9936600686582426,1,50
1114,532C-BE5C-7C45-F9D4-6AD3_2017-11-01 15:11:05,532C-BE5C-7C45-F9D4-6AD3,3147.0,5,2,5,2,2.0688343121299977,346,1,0,20,42,5,0,0,42,5,2,43,0,0,42,7,0,0,40,1,1,40,2,0,42,8,1,44,7887153.0,0,367,0,3,6,9,358,0.9996011558495874,1,367
1116,3EF8-CF76-954E-FDAC-4684_2017-10-27 10:46:41,3EF8-CF76-954E-FDAC-4684,68986.0,2,2,7,2,2.117277097906719,101,0,0,28,9,9,3,4,7,11,3,4,2,2,7,9,2,0,4,2,6,6,9,2,12,9,1,6,2115887.0,0,129,0,0,14,14,115,0.9684256247388292,0,129
1120,DB43-5ADD-74FE-AC7B-76F5_2017-07-10 18:03:04,DB43-5ADD-74FE-AC7B-76F5,2379.0,2,1,2,2,0.8823830530748153,0,0,0,12,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,3,0,2,3,0,0,0,0,0,2325954.0,0,12,0,1,5,6,6,0.9989782389374716,1,12
1121,F3C7-2F59-BD43-2A9B-6CD8_2017-09-12 21:02:59,F3C7-2F59-BD43-2A9B-6CD8,738225.0,2,1,7,2,0.9365995187176585,0,0,0,16,0,0,2,0,0,0,0,2,0,4,2,0,0,0,1,0,0,2,0,0,0,2,0,1,2027116.0,1,16,0,1,7,8,8,0.7330437729017868,1,16
1122,EE2B-687D-E649-EB8C-8754_2017-11-02 05:51:36,EE2B-687D-E649-EB8C-8754,12464.0,2,2,12,2,2.2998833723166463,78,0,0,36,0,15,3,7,0,16,0,4,1,6,0,11,0,0,4,4,9,5,6,10,0,10,2,1,1658910.0,0,114,0,1,17,18,96,0.9925426625040236,1,114
1123,CC93-9CB5-E445-69BC-EDCF_2017-09-30 15:01:21,CC93-9CB5-E445-69BC-EDCF,5916.0,7,2,2,2,2.243329608800697,229,0,6,43,0,50,3,6,0,50,5,3,2,0,5,49,7,5,8,2,2,8,2,2,0,53,6,10,15515986.0,0,274,4,6,12,18,260,0.9996188611421462,1,278
1124,6DA3-FAFD-9F94-4A79-22AD_2017-07-04 01:26:41,6DA3-FAFD-9F94-4A79-22AD,449194.0,6,1,2,2,1.3163725690440502,0,0,0,27,1,2,2,3,2,0,0,1,0,0,0,2,0,0,0,0,2,4,3,1,0,2,2,0,11281935.0,0,27,0,4,7,11,16,0.9617092267930905,0,27
1125,CD74-F2B7-D3E9-4669-B9DC_2017-10-25 11:59:09,CD74-F2B7-D3E9-4669-B9DC,91993.0,2,2,12,2,2.162556836233132,172,0,0,32,3,0,7,37,5,0,0,3,1,37,3,0,2,0,8,5,36,5,1,36,11,0,0,4,3736833.0,0,204,0,1,14,15,189,0.9759735751898884,1,204
1126,787A-E5B8-A984-B5A9-5B5F_2017-09-16 09:10:58,787A-E5B8-A984-B5A9-5B5F,224310.0,2,2,9,2,2.715955709974649,158,0,0,100,5,33,5,5,4,24,16,7,1,3,12,33,14,10,8,0,2,10,5,2,3,32,11,13,3444910.0,0,258,0,1,42,43,215,0.9388671161718294,1,258
