,__EVENTCASE__,__STATIONID__,__STATION__death_period,__STATION__distinct_payload_firmware_version,__STATION__distinct_payload_gateway_mac,__STATION__distinct_payload_ip,__STATION__distinct_payload_profile_id,__STATION__entropy_for_hours_of_day,__STATION__event_type_condition_updated,__STATION__event_type_license_updated,__STATION__event_type_malfunctioning_state_changed,__STATION__event_type_status_changed,__STATION__hours_of_day_0,__STATION__hours_of_day_1,__STATION__hours_of_day_10,__STATION__hours_of_day_11,__STATION__hours_of_day_12,__STATION__hours_of_day_13,__STATION__hours_of_day_14,__STATION__hours_of_day_15,__STATION__hours_of_day_16,__STATION__hours_of_day_17,__STATION__hours_of_day_18,__STATION__hours_of_day_19,__STATION__hours_of_day_2,__STATION__hours_of_day_20,__STATION__hours_of_day_21,__STATION__hours_of_day_22,__STATION__hours_of_day_23,__STATION__hours_of_day_3,__STATION__hours_of_day_4,__STATION__hours_of_day_5,__STATION__hours_of_day_6,__STATION__hours_of_day_7,__STATION__hours_of_day_8,__STATION__hours_of_day_9,__STATION__live_period,__STATION__locale,__STATION__payload_malfunctioning_false,__STATION__payload_malfunctioning_true,__STATION__payload_offline_trigger_AU_GRACEFUL_SHUTDOWN,__STATION__payload_offline_trigger_MQTT_LASTWILL,__STATION__payload_status_OFFLINE,__STATION__payload_status_ONLINE,__STATION__rate,__STATION__station_final_status,__STATION__total_event
1829,8F8F-2FEA-6DA5-4FED-B8D2_2017-06-08 22:41:08,8F8F-2FEA-6DA5-4FED-B8D2,18629.0,2,1,2,2,1.0408500236214475,0,0,0,20,0,0,4,1,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,4,0,0,0,5,2121363.0,0,20,0,1,4,5,15,0.9912948272703824,1,20
1830,5778-78DD-7C44-2E9C-EA28_2017-05-28 00:46:51,5778-78DD-7C44-2E9C-EA28,471248.0,3,1,2,2,1.860795759464252,0,1,0,69,2,0,11,6,12,10,8,0,2,0,2,4,0,1,1,1,1,0,0,0,1,6,2,0,1521989.0,0,70,0,1,29,30,40,0.7635765340498897,0,70
1831,3772-627C-7DD4-B8BA-7FDA_2017-08-31 23:48:02,3772-627C-7DD4-B8BA-7FDA,8354.0,2,2,2,3,1.6031851682402558,59,2,4,12,10,0,10,0,13,0,0,0,4,0,11,0,0,0,0,4,1,2,6,0,10,0,4,2,1263774.0,0,75,2,1,5,6,71,0.9934330507621876,1,77
1833,7D32-5532-322F-4D3F-8BDA_2017-08-28 16:59:53,7D32-5532-322F-4D3F-8BDA,15396.0,1,2,2,2,1.7081817175329257,35,0,0,28,6,2,6,2,2,5,1,0,3,4,2,4,0,4,4,4,2,3,2,2,2,2,0,1,764541.0,0,63,0,0,14,14,49,0.9802599440724058,1,63
1834,4FC7-3ACF-C844-44B7-BC78_2017-07-07 22:20:27,4FC7-3ACF-C844-44B7-BC78,167521.0,1,1,2,2,0.2868359830561607,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,576436.0,0,2,0,0,1,1,1,0.7748243514074066,0,2
1835,C62F-E25F-2645-4558-F675_2017-07-31 21:38:23,C62F-E25F-2645-4558-F675,355432.0,1,2,2,2,0.918343312131288,9,0,0,4,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3,1,1,0,2,0,0,0,0,1,388205.0,0,13,0,0,2,2,11,0.5220356168399367,1,13
1836,62FE-2943-A43B-9BC3-6629_2017-02-28 06:28:48,62FE-2943-A43B-9BC3-6629,235263.0,3,1,6,1,1.0408500236214475,0,1,0,20,6,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,2,1,1,1,0,3029440.0,0,21,0,2,6,8,13,0.9279373958366196,1,21
1837,6682-7C2D-B4BA-4CAA-98A9_2017-10-12 22:30:36,6682-7C2D-B4BA-4CAA-98A9,2145.0,1,2,7,2,1.7106429007118635,128,0,0,15,23,0,13,0,21,1,0,0,11,0,22,0,2,0,1,13,2,2,11,0,21,0,0,0,2780796.0,0,143,0,0,6,6,137,0.9992292326714796,0,143
1838,CB39-ACBE-649E-FBC8-8283_2017-10-24 05:12:28,CB39-ACBE-649E-FBC8-8283,1705.0,2,2,3,2,1.790630216446525,88,0,0,7,0,5,0,14,0,5,3,0,0,14,0,5,3,3,0,0,14,2,0,14,1,6,4,2,1896016.0,0,95,0,1,2,3,92,0.9991015539165136,1,95
1840,9987-FDB5-947B-4C9F-89B8_2017-08-16 19:01:44,9987-FDB5-947B-4C9F-89B8,3422.0,2,2,18,2,1.4534066966325092,36,0,0,29,8,0,0,5,11,2,2,2,0,2,10,12,0,0,0,0,0,0,0,0,9,2,0,0,978271.0,0,65,0,1,8,9,56,0.9965141851882412,1,65
1841,7BB2-5CDE-F8D4-CB79-5548_2017-10-19 04:05:40,7BB2-5CDE-F8D4-CB79-5548,11716.0,2,2,3,2,0.8729484758423084,45,0,0,6,0,14,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,3,1,0,0,11,0,0,953654.0,0,51,0,1,2,3,48,0.98786372064597,1,51
1843,42B8-4FBA-394A-8898-F4F7_2017-07-31 08:50:38,42B8-4FBA-394A-8898-F4F7,82277.0,2,2,2,2,0.8570352476808069,12,0,0,6,1,0,3,0,0,0,0,0,3,0,0,0,0,0,1,3,0,3,3,0,0,0,1,0,4782151.0,0,18,0,1,1,2,16,0.9830859866771592,1,18
